top_q,N,dim,kernel,eps,m,pre,eig,precond,solve,mean,total,iters,eepm,rms,rmse_ex
8,100000,2,Mat12,0.001,97,0.0333256998565048,0.3102025999687612,0.0007182001136243343,1.611912100110203,0.007277199998497963,1.9634358000475913,118,nan,0.3039440568050657,nan
8,10000000,2,Mat12,0.001,97,1.4338096999563277,0.2866253999527544,0.0011408000718802214,0.5866735999006778,0.6130266999825835,2.9212761998642236,45,nan,0.29609859710626063,nan
8,1000,3,Mat12,0.005,23,0.1299003001768142,1.289452100172639,0.0030231999699026346,0.9220662000589073,0.01583029981702566,2.3602721001952887,17,nan,0.45127687681457435,nan
8,100000,3,Mat12,0.005,23,0.1376775000244379,1.1640198999084532,0.0021095999982208014,3.9013119998853654,0.021512500010430813,5.226631499826908,72,nan,0.31842542720590433,nan
8,10000000,3,Mat12,0.005,23,2.248842300148681,1.162576099857688,0.0021850999910384417,1.6926716000307351,0.838200300000608,5.94447540002875,31,nan,0.30021375635414926,nan
16,1000,1,SE,0.0001,13,0.10793619998730719,0.003604999976232648,7.209996692836285e-05,0.00037329993210732937,0.002365199849009514,0.11435179971158504,1,nan,0.29966627204656465,nan
16,100000,1,SE,0.0001,13,0.009686200181022286,0.0021389001049101353,5.8499863371253014e-05,0.00028169993311166763,0.0032909999135881662,0.015456299996003509,1,nan,0.303330953001388,nan
16,10000000,1,SE,0.0001,13,0.2564385000150651,0.0020949000027030706,4.5999884605407715e-05,0.0002229998353868723,0.1547918999567628,0.4135942996945232,1,nan,0.3034466109109217,nan
16,1000,2,SE,0.0001,16,0.010144800180569291,0.02077939989976585,9.34000127017498e-05,0.01619979995302856,0.0028190999291837215,0.05003649997524917,43,nan,0.31678785612555765,nan
16,100000,2,SE,0.0001,16,0.02300759986974299,0.018928200006484985,7.489998824894428e-05,0.054316499968990684,0.006595900049433112,0.10292309988290071,133,nan,0.29667276316134966,nan
16,10000000,2,SE,0.0001,16,1.406514500034973,0.020826200023293495,0.00014649983495473862,0.041683899937197566,0.526132799917832,1.9953038997482508,96,nan,0.2962262171857648,nan
16,1000,3,SE,0.001,17,0.05344739998690784,0.8221597000956535,0.003063000040128827,0.5558861000463367,0.019258000189438462,1.4538142003584653,29,nan,0.4023051026724438,nan
16,100000,3,SE,0.001,17,0.05801849998533726,0.707577999914065,0.0019896000158041716,2.112880500033498,0.025242500007152557,2.905709099955857,118,nan,0.30250480406841945,nan
16,10000000,3,SE,0.001,17,1.8533661998808384,0.6848907000385225,0.002297600032761693,1.1948669999837875,0.794949300121516,4.530370800057426,66,nan,0.299969390728946,nan
16,1000,1,Mat12,0.0001,1554,0.04001690004952252,0.03933629998937249,0.00024569989182054996,0.021222100127488375,0.00257060001604259,0.10339160007424653,22,nan,0.3385417132615943,nan
16,100000,1,Mat12,0.0001,1555,0.012604299932718277,0.03812950011342764,0.00013459986075758934,0.05440780008211732,0.0034284000284969807,0.1087046000175178,63,nan,0.3005923460237913,nan
16,10000000,1,Mat12,0.0001,1555,0.25237619993276894,0.036581299966201186,0.00011119991540908813,0.020844200160354376,0.13132199994288385,0.44123489991761744,25,nan,0.30314267890814856,nan
16,1000,2,Mat12,0.001,97,0.025603599846363068,0.5063855000771582,0.0017233998514711857,0.3740017998497933,0.003413999918848276,0.9111282995436341,27,nan,0.3492419120932737,nan
16,100000,2,Mat12,0.001,97,0.0333256998565048,0.528813999844715,0.0019994000904262066,1.4026326001621783,0.00812339992262423,1.9748950998764485,99,nan,0.30395048434393346,nan
16,10000000,2,Mat12,0.001,97,1.4338096999563277,0.528027799911797,0.0018776999786496162,0.4862581000197679,0.49459090013988316,2.9445642000064254,32,nan,0.2961338514405424,nan
16,1000,3,Mat12,0.005,23,0.1299003001768142,2.260931700002402,0.0053842999041080475,0.9045176999643445,0.0184818000998348,3.3192158001475036,15,nan,0.45129029875001353,nan
16,100000,3,Mat12,0.005,23,0.1376775000244379,2.3223637000191957,0.00573530001565814,3.9946351000107825,0.024925699923187494,6.485337299993262,67,nan,0.3184547379779384,nan
16,10000000,3,Mat12,0.005,23,2.248842300148681,2.3085032999515533,0.004703899845480919,1.8645082998555154,0.7859346000477672,7.212492399848998,28,nan,0.30021642097957674,nan
