dataset_stem,n_train,kernel,kernel_family,kernel_label,kernel_nu,kernel_lengthscale,eps,reg_lambda,method,method_family,M,mtot,topk,q,btab_active_topk,btab_box_size,btab_eig_q,cg_iters,time_solve,time_total,rmse_test,rmse_train,Speedup,status,table1_source
synthetic_true_func_2d_n300000000,300000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_16384_q320,Box-EigenPro,35721.0,189.0,16384.0,320.0,16384.0,21025.0,320.0,220.0,2.2676410170000736,3.791219440000077,0.0001222892789591,0.0199999888074931,1.600717653526229,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_20480_q192,Box-EigenPro,35721.0,189.0,20480.0,192.0,20480.0,25921.0,192.0,510.0,1.3038918739999872,2.8262166739999657,0.0001225315310739,0.0199999953869464,2.147277645705384,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_20480_q256,Box-EigenPro,35721.0,189.0,20480.0,256.0,20480.0,25921.0,256.0,357.0,1.1251227100000278,2.647775820999982,0.0001222679901968,0.0199999940287767,2.2919885580449177,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_20480_q320,Box-EigenPro,35721.0,189.0,20480.0,320.0,20480.0,25921.0,320.0,227.0,1.0264255560000493,2.5487671480000245,0.0001223710384302,0.0199999911410358,2.3810224840515284,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_32768_q192,Box-EigenPro,35721.0,189.0,32768.0,192.0,32768.0,35721.0,192.0,253.0,1.0576447459999372,2.580022025999938,0.0001234807817036,0.020000011044299,2.352178324387721,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_32768_q256,Box-EigenPro,35721.0,189.0,32768.0,256.0,32768.0,35721.0,256.0,176.0,0.8847192409999707,2.4067460129999745,0.0001234023238335,0.0200000112577979,2.521525683732383,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_32768_q320,Box-EigenPro,35721.0,189.0,32768.0,320.0,32768.0,35721.0,320.0,144.0,0.8936102639999035,2.416197972999953,0.0001233652382235,0.0200000110042133,2.511661690728546,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_36864_q192,Box-EigenPro,35721.0,189.0,36864.0,192.0,36864.0,35721.0,192.0,253.0,0.7936677540000119,2.3153542770000968,0.0001234857228313,0.020000011045896,2.6210554239081114,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_36864_q256,Box-EigenPro,35721.0,189.0,36864.0,256.0,36864.0,35721.0,256.0,176.0,1.2711867559999064,2.793012337999926,0.0001234024579587,0.0200000112569337,2.172805255255592,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n300000000,300000000,Matern-1.5,matern,Matern-1.5,1.5,0.1,1e-05,0.1,btab_boxeig_topk_36864_q320,Box-EigenPro,35721.0,189.0,36864.0,320.0,36864.0,35721.0,320.0,142.0,0.8650952400000733,2.3868307730000424,0.0001232668909844,0.0200000109436456,2.542564791207273,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n100000000,100000000,SE,SE,SE,1.5,0.1,1e-05,0.1,plain_cg,EFGP-CG,1225.0,35.0,,,,,,1519.0,1.5834892270000864,2.7622767710000744,5.378414205704292e-05,0.0199984951936483,1.0,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n100000000,100000000,SE,SE,SE,1.5,0.1,1e-05,0.1,eigenpro_pcg_q90,EigenPro-PCG,1225.0,35.0,,90.0,,,,337.0,0.4718460389999563,1.2754238499999246,0.0003664113166016,0.0200030742561097,2.165771614667734,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n100000000,100000000,SE,SE,SE,1.5,0.1,1e-05,0.1,eigenpro_pcg_q180,EigenPro-PCG,1225.0,35.0,,180.0,,,,45.0,0.0635821050000231,1.1279055429999971,0.0003568930905302,0.0200029141434917,2.4490320028510415,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n100000000,100000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_auto_topk_2048,Active inverse,1225.0,35.0,2048.0,,2048.0,1225.0,,3.0,0.0478898809999464,0.5552027759999874,0.0003631307603946,0.0200030222860773,4.975257492228637,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n100000000,100000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_auto_topk_4096,Active inverse,1225.0,35.0,4096.0,,4096.0,1225.0,,3.0,0.048146341000006,0.5553086280000343,0.0003631307604062,0.0200030222860778,4.974309116983329,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n100000000,100000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_auto_topk_8192,Active inverse,1225.0,35.0,8192.0,,8192.0,1225.0,,3.0,0.0468444109999381,0.5540699529999529,0.0003631307603825,0.0200030222860774,4.985429648447854,ok,btab_group_c_se_matern_20260628_091803
synthetic_true_func_2d_n100000000,100000000,SE,SE,SE,1.5,0.1,1e-05,0.1,btab_auto_topk_16384,Active inverse,1225.0,35.0,16384.0,,16384.0,1225.0,,3.0,0.0470969529999365,0.5542787619999672,0.0003631307603868,0.0200030222860776,4.9835515274536855,ok,btab_group_c_se_matern_20260628_091803
