dataset_stem,n_train,eps,method,route,precompute_mode,top_q,iterations,cg_iters,n_matvec,cg_n_matvec,n_precond,time_precompute,time_eigenspace,time_precond_build,time_solve,time_predict,time_total,rmse_train,rmse_test,cg_relres,status
synthetic_true_func_2d_n1000000,1000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,6.0,6,7,7,6.0,0.0184896429998389,0.5606273660000625,0.0002926049999132,0.0094954800001687,0.0127159689998279,0.5889050939999834,0.0200063672766589,0.0004611720752592,9.380661974487263e-07,ok
synthetic_true_func_2d_n1000000,1000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,108.0,108,109,109,108.0,0.0290265389999149,1.0327671120001014,0.0003152869999212,0.2542860050000399,0.0128537830000823,1.3163949429999775,0.0199363560663918,0.001266873452791,8.922645449619817e-07,ok
synthetic_true_func_2d_n10000000,10000000,1e-05,plain_cg,cg_baseline,original/default,,490.0,490,491,491,,0.2578676629999563,,,0.5025123020000137,0.0929947879999417,0.7603805480000574,0.0200055529404235,0.000178916273693,8.574002426409319e-07,ok
synthetic_true_func_2d_n10000000,10000000,1e-05,plain_cg,cg_baseline,original/default,,1171.0,1171,1172,1172,,0.2566204729999981,,,1.2326578760000757,0.0934102310000071,1.4892789960000528,0.0199959505980746,0.0005576980915535,9.314295749320852e-07,ok
synthetic_true_func_2d_n10000000,10000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,95.0,95,96,96,95.0,0.0601547740000114,0.2921279700000241,0.0002817849999701,0.131785888999957,0.093083072000013,0.4843504179999627,0.0200080663135766,0.0003519900653315,8.355923535130347e-07,ok
synthetic_true_func_2d_n10000000,10000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,268.0,268,269,269,268.0,0.106735231000016,0.4719567889999325,0.0003089320000526,0.5036738889999697,0.0931063689999973,1.082674840999971,0.0199961719782009,0.0005603438879295,9.4207957894146e-07,ok
synthetic_true_func_2d_n10000000,10000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,9.0,9,10,10,9.0,0.0614727180000045,0.5623944719999372,0.0002906390000134,0.0134553699999742,0.0929243860000497,0.6376131989999294,0.0200083252700226,0.0003664211186383,9.339985419868156e-07,ok
synthetic_true_func_2d_n10000000,10000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,138.0,138,139,139,138.0,0.1051637079999636,1.0524082980000458,0.0003066709999757,0.3328919699999915,0.0936315860000149,1.4907706469999766,0.0199961924693311,0.0005596580598055,9.69387189251986e-07,ok
synthetic_true_func_2d_n3000000,3000000,1e-05,plain_cg,cg_baseline,original/default,,495.0,495,496,496,,0.082327427999985,,,0.5135444809999399,0.0296477420000655,0.595872571999962,0.0199992319795147,0.0002382041325038,9.355860584965348e-07,ok
synthetic_true_func_2d_n3000000,3000000,1e-05,plain_cg,cg_baseline,original/default,,997.0,997,998,998,,0.0830052889998569,,,1.0483576460001132,0.029573204999906,1.1313636459999543,0.0199712226570444,0.0008834436735271,9.511225757786984e-07,ok
synthetic_true_func_2d_n3000000,3000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,75.0,75,76,76,75.0,0.0282703379999702,0.2945447650000687,0.0002967369999851,0.1054973420000351,0.0296985019999738,0.4286091820000592,0.0200013200496986,0.0003532539856705,8.027008706857454e-07,ok
synthetic_true_func_2d_n3000000,3000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,244.0,244,245,245,244.0,0.0609598859998641,0.4720592749999923,0.0003092520000791,0.4546137980000821,0.0295222079998893,0.9879422110000178,0.0199713528429281,0.0008895169405338,9.600298701464472e-07,ok
synthetic_true_func_2d_n3000000,3000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,7.0,7,8,8,7.0,0.0275320430000647,0.5645263199999135,0.0003136200000426,0.0108798869999873,0.0296882290000439,0.6032518700000082,0.0200026560102362,0.0004221037594765,9.536401720481932e-07,ok
synthetic_true_func_2d_n3000000,3000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,131.0,131,132,132,131.0,0.0581450049999148,1.0323312210000497,0.0003218419999484,0.3071663890000309,0.0294724039999891,1.3979644569999436,0.0199712911139238,0.0008888511944711,9.900151485223571e-07,ok
synthetic_true_func_2d_n30000000,30000000,1e-05,plain_cg,cg_baseline,original/default,,528.0,528,529,529,,3.172189289999892,,,2.357816127999968,0.2764506600000231,5.530006723999918,0.0200041780646201,0.0001482780060305,9.855971006300502e-07,ok
synthetic_true_func_2d_n30000000,30000000,1e-05,plain_cg,cg_baseline,original/default,,969.0,969,970,970,,0.8940235939999184,,,1.0160917969999446,0.2747197920000417,1.9101166109999208,0.020000798140829,0.0003383668070641,9.29609153253082e-07,ok
synthetic_true_func_2d_n30000000,30000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,83.0,83,84,84,83.0,2.038063850999947,2.044049391000044,0.455694128999994,0.1356135959999846,0.2757913560000133,4.67342096699997,0.0200068970382953,0.0003211797199009,9.766959278258608e-07,ok
synthetic_true_func_2d_n30000000,30000000,1e-05,eigenpro_pcg_q90,eigenpro_baseline,c1,90.0,233.0,233,234,234,233.0,0.3211184840000669,0.4755023779999874,0.0003064889999677,0.4415614910000158,0.2745951209999475,1.238488842000038,0.0200009290425855,0.0003366279359706,9.668912575617755e-07,ok
synthetic_true_func_2d_n30000000,30000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,9.0,9,10,10,9.0,0.1486287499999434,0.5716732710000088,0.0003041569999595,0.0136365020000539,0.2766477919999488,0.7342426799999657,0.0200072065344042,0.0003415561087022,9.81950849897774e-07,ok
synthetic_true_func_2d_n30000000,30000000,1e-05,eigenpro_pcg_q180,eigenpro_baseline,c1,180.0,121.0,121,122,122,121.0,0.1997181350000119,1.0395297509999182,0.0003205689999958,0.2862733490001119,0.274796738999953,1.525841804000038,0.0200009328149257,0.0003360982371314,9.7717171859716e-07,ok
