dataset_stem,n_train,kernel,kernel_family,kernel_label,kernel_nu,kernel_lengthscale,eps,reg_lambda,method,method_family,M,mtot,topk,q,btab_active_topk,btab_box_size,btab_eig_q,cg_iters,time_solve,time_total,rmse_test,rmse_train,Speedup,status,table1_source
synthetic_true_func_2d_n1000000,1000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_boxeig_topk_256_q64,Box-EigenPro,1681,41,256.0,64.0,256.0,361.0,64.0,379,0.7757757059998767,0.7941211339998517,0.0003962502627973,0.0200043849174484,1.1108999788945455,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n1000000,1000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_boxeig_topk_256_q128,Box-EigenPro,1681,41,256.0,128.0,256.0,361.0,128.0,120,0.455544264999844,0.4743407739997565,0.0003965144453257,0.0200043903162479,1.8598214603423502,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n1000000,1000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_boxeig_topk_512_q64,Box-EigenPro,1681,41,512.0,64.0,512.0,625.0,64.0,286,0.6105877340000916,0.6288627810004073,0.0003966599149653,0.0200043925510334,1.4028325059987554,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n1000000,1000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_boxeig_topk_512_q128,Box-EigenPro,1681,41,512.0,128.0,512.0,625.0,128.0,85,0.391441653000129,0.4101182449999214,0.0003963825931338,0.0200043897225935,2.1510604850079686,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n1000000,1000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_boxeig_topk_512_q256,Box-EigenPro,1681,41,512.0,256.0,512.0,625.0,256.0,16,0.4939330360002714,0.5125889490000191,0.0003964426113568,0.0200043876870012,1.7210459818167383,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n30000000,30000000,SE,SE,SE,1.5,0.1,1e-07,0.1,plain_cg,EFGP-CG,1681,41,,,,,,1495,1.576143907000187,2.3392661769998995,7.838583646042319e-05,0.0200037469726003,1.0,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n30000000,30000000,SE,SE,SE,1.5,0.1,1e-07,0.1,eigenpro_pcg_q90,EigenPro-PCG,1681,41,,90.0,,,,266,0.372419925000031,0.8171591549998993,0.0002613092408599,0.0200059649496774,2.862681232519738,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n30000000,30000000,SE,SE,SE,1.5,0.1,1e-07,0.1,eigenpro_pcg_q180,EigenPro-PCG,1681,41,,180.0,,,,39,0.0561478899999201,0.7717434370001683,0.0002607238459408,0.0200059305525003,3.031144892003,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n30000000,30000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_auto_topk_64,Active inverse,1681,41,64.0,,64.0,81.0,,1589,2.5652789400000984,2.716476929000237,0.0002637390121573,0.0200059768508991,0.8611397181498741,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n30000000,30000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_auto_topk_128,Active inverse,1681,41,128.0,,128.0,169.0,,864,1.4225540909997108,1.5713351449999209,0.0002637037622477,0.0200059672734522,1.488712439509534,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n30000000,30000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_auto_topk_256,Active inverse,1681,41,256.0,,256.0,361.0,,300,0.5174578480000491,0.6666931929999009,0.0002639400680176,0.020005970955332,3.5087596537081294,ok,btab_group_b_se_20260628_180907
synthetic_true_func_2d_n30000000,30000000,SE,SE,SE,1.5,0.1,1e-07,0.1,btab_auto_topk_512,Active inverse,1681,41,512.0,,512.0,625.0,,58,0.1245339400002194,0.2734043030000066,0.0002637282812077,0.0200059715333081,8.55606934979309,ok,btab_group_b_se_20260628_180907
