dataset_stem,n_train,eps,selector_tag,route,method,precompute_mode,top_q,btab_eig_q,btab_active_size_raw,btab_box_size,tail_size,rho_max_T,tail_energy,epsilon_T,eta_inv,eta_eig,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max,cg_iters,outer_iters,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_8192,boxeig,btab_boxeig_topk_8192_q128,c1,,128.0,8192.0,10609.0,25112.0,5.520105239467475,20444.51560835169,4.705387462425647,,0.5807350790814657,19681.178244832277,9.072335770555514e-15,770,770.0,0.4133952000120189,2.9630572000169195,3.499265100021148,0.2676347999949939,3.766899900016142,0.0310976782109805
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,3000000,1e-05,topk_8192,boxeig,btab_boxeig_topk_8192_q192,c1,,192.0,8192.0,10609.0,25112.0,5.520105239467475,20444.51560835169,4.705387462425647,,0.6179422415880208,8160.590567221963,5.001998183941091e-14,505,505.0,0.7004302999994252,2.5475312000198755,3.117280200007372,0.331897600000957,3.4491778000083286,0.0310975660740353
synthetic_true_func_2d_n1000000,1000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q45,c1,45.0,,,,,,,,,,,,350,,0.0006713999900966,1.0332700999861115,1.9264912999933583,,,0.0012667349380717
synthetic_true_func_2d_n1000000,1000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q90,c1,90.0,,,,,,,,,,,,212,,0.0004403000057209,0.7311240000126418,2.341146699996898,,,0.0012678160206013
synthetic_true_func_2d_n1000000,1000000,1e-05,plain_cg,cg_baseline,plain_cg,original/default,,,,,,,,,,,,,789,,,1.987873199977912,2.78528389998246,,,0.0012503715851873
synthetic_true_func_2d_n1000000,1000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q64,c1,,64.0,1024.0,1369.0,34352.0,240.1514296249552,159243.36646233394,2.8394050022110275,,0.6671994563160223,25210.6993162868,4.631135280784958e-15,294,294.0,0.1948496999975759,1.1782196999993175,1.447192100022221,0.2199974000104703,1.6671895000326913,0.0012658792427186
synthetic_true_func_2d_n1000000,1000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q128,c1,,128.0,1024.0,1369.0,34352.0,240.1514296249552,159243.36646233394,2.8394050022110275,,0.884037593499784,6912.003545512331,1.1529985756471826e-14,116,116.0,0.4076488999999128,0.7706768999923952,0.9884313000075052,0.2956966999918222,1.2841279999993276,0.0012631436138845
synthetic_true_func_2d_n1000000,1000000,1e-05,topk_1024,inverse,btab_auto_topk_1024,c1,,,1024.0,1369.0,34352.0,240.1514296249552,159243.36646233394,2.8394050022110284,1.8063859279535643,,,,91,91.0,0.1039917999878525,0.4822034999961033,0.6998359999852255,0.2301971999986563,0.9300331999838818,0.0012661960952069
synthetic_true_func_2d_n1000000,1000000,1e-05,topk_2048,boxeig,btab_boxeig_topk_2048_q128,c1,,128.0,2048.0,2601.0,33120.0,54.54761652132973,63020.96672492494,2.731338618741145,,0.6600444618855921,6919.820422213622,1.1629293294559712e-14,135,135.0,0.3874324999924283,0.809875099977944,1.032008299982408,0.2659784000134095,1.2979866999958176,0.0012634089671684
synthetic_true_func_2d_n1000000,1000000,1e-05,topk_2048,inverse,btab_auto_topk_2048,c1,,,2048.0,2601.0,33120.0,54.54761652132973,63020.96672492494,2.731338618741146,1.71685872397338,,,,57,57.0,0.5250017000071239,0.965331099985633,1.2167009999975562,0.3374920999922324,1.5541930999897886,0.0012655525452139
synthetic_true_func_2d_n1000000,1000000,1e-05,topk_4096,boxeig,btab_boxeig_topk_4096_q128,c1,,128.0,4096.0,5329.0,30392.0,9.83852065960661,21241.346961770272,2.4296804987506406,,0.4456954004128928,6920.767201498464,1.0655496712074744e-14,134,134.0,0.4080028999887872,0.8855426000081934,1.1357661000220105,0.2721143999951891,1.4078805000171997,0.0012659554833786
synthetic_true_func_2d_n1000000,1000000,1e-05,topk_4096,boxeig,btab_boxeig_topk_4096_q192,c1,,192.0,4096.0,5329.0,30392.0,9.83852065960661,21241.346961770272,2.4296804987506406,,0.5136205114308346,2988.013631659401,3.0301088227087995e-14,90,90.0,0.6047342999954708,0.8788659000128973,1.1012134999909904,0.333150199992815,1.4343636999838054,0.0012648579842661
synthetic_true_func_2d_n1000000,1000000,1e-05,topk_4096,inverse,btab_auto_topk_4096,c1,,,4096.0,5329.0,30392.0,9.83852065960661,21241.346961770272,2.429680498750641,1.4648089798621875,,,,26,26.0,4.908664599992335,11.921315099985804,12.148870900011389,7.95172330000787,20.10059420001926,0.0012665877503901
synthetic_true_func_2d_n1000000,1000000,1e-05,topk_8192,boxeig,btab_boxeig_topk_8192_q64,c1,,64.0,8192.0,10609.0,25112.0,1.840030510776764,6814.821494690161,1.6726014724805354,,0.2084108855663934,25217.204438571334,5.2208562335198296e-15,307,307.0,0.2397701000154484,1.332120200007921,1.5464762999909,0.3227095000038389,1.8691857999947388,0.0012667975015291
synthetic_true_func_2d_n1000000,1000000,1e-05,topk_8192,boxeig,btab_boxeig_topk_8192_q128,c1,,128.0,8192.0,10609.0,25112.0,1.840030510776764,6814.821494690161,1.672601472480535,,0.2620215712693281,6920.915484633261,1.2435499639101784e-14,140,140.0,0.4674477000080514,0.9817225000006148,1.210813199984841,0.3000052999996114,1.5108184999844525,0.0012634316579829
synthetic_true_func_2d_n1000000,1000000,1e-05,topk_8192,boxeig,btab_boxeig_topk_8192_q192,c1,,192.0,8192.0,10609.0,25112.0,1.840030510776764,6814.821494690161,1.6726014724805351,,0.3016826250514124,2988.1704154715853,4.457636115209745e-14,91,91.0,0.7481607999943662,1.0786948000022676,1.3424796999897808,0.3499220999947283,1.6924017999845091,0.0012633605885513
synthetic_true_func_2d_n10000000,10000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q45,c1,45.0,,,,,,,,,,,,527,,0.0004372000112198,1.64745839999523,3.227551799995126,,,0.0005618039534506
synthetic_true_func_2d_n10000000,10000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q90,c1,90.0,,,,,,,,,,,,268,,0.000529999990249,0.935037999995984,3.400559900008375,,,0.0005603386171187
synthetic_true_func_2d_n10000000,10000000,1e-05,plain_cg,cg_baseline,plain_cg,original/default,,,,,,,,,,,,,1140,,,2.683239700010745,6.52406830000109,,,0.0005582953198368
synthetic_true_func_2d_n10000000,10000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q64,c1,,64.0,1024.0,1369.0,34352.0,2401.5191371138226,1592437.0739614717,2.7524344858248773,,0.7052638949814656,251551.0490333865,4.387212898020528e-15,298,298.0,0.1945192000130191,1.104231700010132,2.061587800009874,0.2000784999981988,2.261666300008073,0.0005605376183382
synthetic_true_func_2d_n10000000,10000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q128,c1,,128.0,1024.0,1369.0,34352.0,2401.5191371138226,1592437.0739614717,2.7524344858248777,,0.9308967331748738,69111.95760736616,1.2957704624206904e-14,190,190.0,0.3521408000087831,0.9313817000074778,1.8100502000015692,0.2531972999859135,2.063247499987483,0.0005599965367769
synthetic_true_func_2d_n10000000,10000000,1e-05,topk_1024,inverse,btab_auto_topk_1024,c1,,,1024.0,1369.0,34352.0,2401.5191371138226,1592437.0739614717,2.7524344858248777,1.863904117836085,,,,187,187.0,0.1262400999839883,1.1040838999906557,2.1391046999779064,0.2048573000065516,2.343961999984458,0.0005597136677525
synthetic_true_func_2d_n10000000,10000000,1e-05,topk_2048,boxeig,btab_boxeig_topk_2048_q128,c1,,128.0,2048.0,2601.0,33120.0,545.477332504985,630211.0596413197,2.7283613937574773,,0.7189722551781648,69189.65435282157,9.83232237776612e-15,193,193.0,0.3474503000034019,0.9381925000052432,1.8472373000113291,0.2539338000060525,2.101171100017382,0.0005600644127603
synthetic_true_func_2d_n10000000,10000000,1e-05,topk_2048,inverse,btab_auto_topk_2048,c1,,,2048.0,2601.0,33120.0,545.477332504985,630211.0596413197,2.7283613937574773,1.8376333942224112,,,,120,120.0,0.4547806000045966,1.3185074999928474,2.2040792999905534,0.3308747000119183,2.534954000002472,0.0005607667029966
synthetic_true_func_2d_n10000000,10000000,1e-05,topk_4096,boxeig,btab_boxeig_topk_4096_q128,c1,,128.0,4096.0,5329.0,30392.0,98.38542462466822,212413.9475908336,2.6745073500654573,,0.5279254300228823,69198.87974009592,1.8082654445136623e-14,148,148.0,0.3696884999808389,0.8635735999851022,1.740221899992321,0.2738025000144262,2.014024400006747,0.0005593070869972
synthetic_true_func_2d_n10000000,10000000,1e-05,topk_4096,boxeig,btab_boxeig_topk_4096_q192,c1,,192.0,4096.0,5329.0,30392.0,98.38542462466822,212413.9475908336,2.6745073500654577,,0.6103545313182814,29837.351513250505,2.2806190415665813e-14,102,102.0,0.6322977999807335,0.9522981999907644,1.876867399987532,0.3337782000016887,2.2106455999892205,0.000560002639567
synthetic_true_func_2d_n10000000,10000000,1e-05,topk_4096,inverse,btab_auto_topk_4096,c1,,,4096.0,5329.0,30392.0,98.38542462466822,212413.9475908336,2.674507350065457,1.7545755462580923,,,,56,56.0,5.67470050000702,16.901343300007284,17.770541000005323,6.577514500007965,24.348055500013288,0.0005597028508347
synthetic_true_func_2d_n10000000,10000000,1e-05,topk_8192,boxeig,btab_boxeig_topk_8192_q64,c1,,64.0,8192.0,10609.0,25112.0,18.400346579650652,68148.36962691823,2.5251616816660967,,0.2863333511690453,251612.5007701431,5.170048811420103e-15,331,331.0,0.2236936999834142,1.2355876000074204,2.1091750000196043,0.2171571999788284,2.3263321999984328,0.0005617716225382
synthetic_true_func_2d_n10000000,10000000,1e-05,topk_8192,boxeig,btab_boxeig_topk_8192_q128,c1,,128.0,8192.0,10609.0,25112.0,18.400346579650652,68148.36962691823,2.525161681666097,,0.3669863041843154,69200.19734500263,1.1874823452012e-14,160,160.0,0.4018375999876298,0.9098696000000928,1.7889138000027742,0.2551626000204123,2.0440764000231866,0.0005663821902683
synthetic_true_func_2d_n10000000,10000000,1e-05,topk_8192,boxeig,btab_boxeig_topk_8192_q192,c1,,192.0,8192.0,10609.0,25112.0,18.400346579650652,68148.36962691823,2.525161681666097,,0.4223737205894975,29838.75155946717,4.856372650439308e-14,106,106.0,0.6511415000131819,0.9991383000160567,1.8779532000189647,0.3458191999816336,2.2237724000005983,0.000565652849265
synthetic_true_func_2d_n3000000,3000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q45,c1,45.0,,,,,,,,,,,,448,,0.0005933000065851,1.5269948999921326,2.7025654000171926,,,0.0008886800950835
synthetic_true_func_2d_n3000000,3000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q90,c1,90.0,,,,,,,,,,,,244,,0.005404700001236,0.9530694000131916,3.318219000007957,,,0.0008895074848079
synthetic_true_func_2d_n3000000,3000000,1e-05,plain_cg,cg_baseline,plain_cg,original/default,,,,,,,,,,,,,1040,,,2.5754261999973096,3.789087499986636,,,0.0008818548709574
synthetic_true_func_2d_n3000000,3000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q64,c1,,64.0,1024.0,1369.0,34352.0,720.4550297588038,477730.6211788942,2.790658341840178,,0.6916381510307916,75515.73531100973,4.153671351733529e-15,252,252.0,0.1981888999871444,0.9811492000008002,1.5386243000102695,0.2107959999993909,1.7494203000096604,0.0008872818006184
synthetic_true_func_2d_n3000000,3000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q128,c1,,128.0,1024.0,1369.0,34352.0,720.4550297588038,477730.6211788942,2.790658341840178,,0.9115923982662096,20735.684077170543,1.0900078856749109e-14,164,164.0,0.3613373999833129,0.8709952000062913,1.514069400000153,0.3013054000039119,1.815374800004065,0.0008838800046646
synthetic_true_func_2d_n3000000,3000000,1e-05,topk_1024,inverse,btab_auto_topk_1024,c1,,,1024.0,1369.0,34352.0,720.4550297588038,477730.6211788942,2.790658341840178,1.8362630681785983,,,,134,134.0,0.1061128999863285,0.7071663999813609,1.24983339998289,0.2052253999863751,1.4550587999692652,0.0008850994567809
