Dataset,N,Kernel,reg_lambda,Method,method,top-k,|B|,q,Iter.,T_solve,T_total,RMSE,RMSE / RMSE_EFGP,Speedup
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q128,512.0,625.0,128.0,422.0,1.6851268640002672,1.747890901000119,0.1370908142524256,0.9994983557781333,2.5182118549169994
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q256,512.0,625.0,256.0,38.0,0.5401293199997781,0.6135939099999632,0.1370908580751381,0.9994986752796938,7.173408204133445
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_768_q128,768.0,961.0,128.0,272.0,0.7055235080001694,0.7731800310002654,0.1370908578738221,0.9994986738119441,5.6928003977362724
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain10000000,10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_768_q256,768.0,961.0,256.0,23.0,0.5297015720002491,0.5932788079999227,0.1370908304788476,0.9994984740813339,7.41904064100774
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_2048,2048.0,2601.0,,820.0,1.4969730269995123,2.021599065999908,0.0276408173241516,0.9997680423831126,7.657931613825331
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,Matern-1.5,0.1,Active inverse,btab_auto_topk_4096,4096.0,5329.0,,388.0,1.5996481629999837,2.1245382460001565,0.0276408158813193,0.9997679901958851,7.286885716059412
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_20480_q320,20480.0,25921.0,320.0,1921.0,4.007841915999961,4.532397834000221,0.02764085355149,0.9997693527255228,3.4156903177973983
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_20480_q384,20480.0,25921.0,384.0,1599.0,3.646258608000608,4.171356202999959,0.0276408339118525,0.999768642360062,3.7113271187118055
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_32768_q192,32768.0,35721.0,192.0,1355.0,2.682394048999413,3.207528607999848,0.0276409298477645,0.9997721123608876,4.826540707817497
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_32768_q256,32768.0,35721.0,256.0,991.0,2.246311144000174,2.771398769999905,0.0276409367061149,0.9997723604273421,5.5860843865500405
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_32768_q320,32768.0,35721.0,320.0,772.0,1.998598483999558,2.523644250999496,0.0276409421516404,0.9997725573919364,6.134488802004903
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_32768_q384,32768.0,35721.0,384.0,608.0,1.893800647999342,2.418500488999598,0.0276409870707981,0.9997741821173499,6.40118431582547
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain100000000,100000000,Matern-1.5,0.1,Box-EigenPro,btab_boxeig_topk_32768_q448,32768.0,35721.0,448.0,505.0,1.9279859030002624,2.452482350000537,0.0276410105785577,0.9997750323927422,6.3124888128132985
