dataset_stem,eps,method,precompute_mode,selector_tag,btab_eig_q,btab_active_size_raw,btab_box_size,btab_eig_size_S,btab_eig_size_T,rho_max_T,tail_energy,epsilon_T,btab_eig_theta_q1,btab_eig_theta_q1_over_sigma2,theta_q1_over_sigma2,btab_eig_eig_residual_max,btab_eig_eig_residual_median,eta_eig,eta_eig_sq,btab_eig_storage_bytes,btab_eig_n_eig_matvec,btab_eig_n_ABB_matvec_cols,btab_eig_ncv_actual,btab_eig_backend,cg_iters,outer_iters,time_eig_setup,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_train,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain30000000,1e-05,btab_boxeig_topk_8192_q192,c1,topk_8192,192.0,8192.0,10609.0,10609.0,25112.0,55.2010523946633,204445.1560834745,6.923593269353336,8161.170502662887,81611.70502662887,81611.70502662887,5.683853913307556e-14,3.292459881432216e-15,0.7470945997825069,0.5581503410241841,32593920.0,418.0,418.0,418.0,cupy,1112,1112.0,1.0912635719996615,1.0951657499999785,3.0028601909998542,3.187679105999905,0.1762174030000096,3.3638965089999147,0.0278767947207867,0.0278576313702016
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain300000000,1e-05,btab_boxeig_topk_16384_q128,c1,topk_16384,128.0,16384.0,21025.0,21025.0,14696.0,102.54141773704696,482569.3284404339,33.737626303131606,22884.479132337117,228844.79132337112,228844.79132337112,1.0422823266259679e-13,2.3136869570697448e-14,2.2080345959745658,4.875416777020563,43061248.0,290.0,290.0,290.0,cupy,5464,5464.0,0.236587714000052,0.2412979900000209,9.562120735999995,11.08591829299985,0.1488070049999805,11.23472529799983,0.1105799429154458,0.1105869730125587
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain300000000,1e-05,btab_boxeig_topk_16384_q192,c1,topk_16384,192.0,16384.0,21025.0,21025.0,14696.0,102.54141773704696,482569.3284404339,33.73762630313161,7830.52628855701,78305.26288557009,78305.26288557009,2.1670123951887333e-12,2.2536133265547655e-14,2.2644116902964204,5.127560303151093,64591872.0,418.0,418.0,418.0,cupy,3644,3644.0,0.3568242069995904,0.3616599459996905,6.588660467999944,8.112855739999759,0.1777614429997811,8.29061718299954,0.1105775253710025,0.1105845890027452
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain300000000,1e-05,btab_boxeig_topk_16384_q256,c1,topk_16384,256.0,16384.0,21025.0,21025.0,14696.0,102.54141773704696,482569.3284404339,33.73762630313161,3642.583976258084,36425.83976258084,36425.83976258084,2.1562475962014098e-12,4.424806850416621e-14,2.3596790621196297,5.568085276205776,86122496.0,546.0,546.0,546.0,cupy,2505,2505.0,0.4665087369999128,0.4713309479998315,4.738955392000207,6.26287370900036,0.1981486899999254,6.461022399000285,0.1105776661862484,0.1105847387633931
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain300000000,1e-05,btab_boxeig_topk_4096_q128,c1,topk_4096,128.0,4096.0,5329.0,5329.0,30392.0,2951.563404083863,6372419.886324823,35.18011269214759,22641.834238324176,226418.34238324172,226418.34238324172,7.470197732760596e-14,1.5525496076426947e-14,4.604476237617084,21.20120142278038,10915840.0,290.0,290.0,290.0,cupy,4773,4773.0,0.2387446289999388,0.2422776120001799,8.401749662999919,9.925841906999722,0.1472145730003831,10.073056480000105,0.1105767393565397,0.110583775806091
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain300000000,1e-05,btab_boxeig_topk_4096_q192,c1,topk_4096,192.0,4096.0,5329.0,5329.0,30392.0,2951.563404083863,6372419.886324823,35.1801126921476,7157.046511432926,71570.46511432926,71570.46511432926,2.057415938656325e-13,2.6891373136200065e-14,4.688318874655029,21.9803338704466,16373760.0,418.0,418.0,418.0,cupy,2935,2935.0,0.3535350350002773,0.3568953829999373,5.318751132000216,6.842367763000311,0.1725220929997704,7.014889856000082,0.1105763426086301,0.1105833860924375
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain300000000,1e-05,btab_boxeig_topk_8192_q128,c1,topk_8192,128.0,8192.0,10609.0,10609.0,25112.0,552.010523946594,2044451.5608346004,34.5916935218253,22862.643131621862,228626.4313162186,228626.4313162186,1.1488273673173874e-13,1.8440629885042722e-14,2.9565297377754463,8.741068090350549,21729280.0,290.0,290.0,290.0,cupy,4590,4590.0,0.8409712080001555,0.8448258610001176,8.648084719000053,10.17208712899992,0.1521135160000994,10.32420064500002,0.110578196628535,0.1105852465197813
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain300000000,1e-05,btab_boxeig_topk_8192_q192,c1,topk_8192,192.0,8192.0,10609.0,10609.0,25112.0,552.010523946594,2044451.5608346004,34.59169352182529,7781.150728294705,77811.50728294704,77811.50728294704,3.510037235725836e-13,2.545447850073444e-14,3.0715834361539773,9.434624805255474,32593920.0,418.0,418.0,418.0,cupy,3475,3475.0,0.3644429349997153,0.3684380610002336,6.301534857999741,7.825915156000065,0.1770365169995784,8.002951672999643,0.1105751378680934,0.110582189843695
synthetic_true_func_2d_n10000000,1e-05,btab_boxeig_topk_16384_q128,c1,topk_16384,128.0,16384.0,21025.0,21025.0,14696.0,3.4180464675207816,16085.64055186952,2.0225294743496143,6920.037319258551,69200.37319258551,69200.37319258551,1.1620151272731036e-14,1.7529232495244065e-15,0.1998903603974551,0.0399561561798245,43061248.0,290.0,290.0,290.0,cupy,193,193.0,0.2802871430003506,0.4315191139999115,0.7788937180002904,0.8607463600001211,0.1472169439998651,1.0079633039999862,0.0199960954908445,0.0005496720049087
synthetic_true_func_2d_n10000000,1e-05,btab_boxeig_topk_16384_q192,c1,topk_16384,192.0,16384.0,21025.0,21025.0,14696.0,3.4180464675207816,16085.64055186952,2.0225294743496143,2983.89385560343,29838.9385560343,29838.9385560343,2.2871009521040223e-14,2.335662874113587e-15,0.2300470887243739,0.0529216630305599,64591872.0,418.0,418.0,418.0,cupy,125,125.0,0.4199892430001455,0.4247542150001209,0.6555249540001569,0.7329555710002751,0.1723893830003362,0.9053449540006112,0.0199961141031843,0.0005498982445857
synthetic_true_func_2d_n10000000,1e-05,btab_boxeig_topk_16384_q256,c1,topk_16384,256.0,16384.0,21025.0,21025.0,14696.0,3.4180464675207816,16085.64055186952,2.0225294743496147,1502.163346082035,15021.63346082035,15021.63346082035,3.3300069268445984e-14,4.157752754714486e-15,0.2554413949508461,0.0652503062544341,86122496.0,546.0,546.0,546.0,cupy,89,89.0,0.521429917000205,0.5263639939998939,0.719275879000179,0.7915872399998989,0.2002423439998892,0.9918295839997882,0.0199961219725842,0.000549609836783
synthetic_true_func_2d_n10000000,1e-05,btab_boxeig_topk_4096_q128,c1,topk_4096,128.0,4096.0,5329.0,5329.0,30392.0,98.38542462466822,212413.9475908336,2.6745073500654577,6919.887974009593,69198.87974009592,69198.87974009592,1.0185577748739731e-14,1.4709986108361976e-15,0.5279254300228818,0.2787052596648447,10915840.0,290.0,290.0,290.0,cupy,148,148.0,1.3847845149998648,1.6335106589999668,1.8922665250001955,1.9741660970003068,0.8650446560000091,2.839210753000316,0.0199957807930309,0.0005593070869972
synthetic_true_func_2d_n10000000,1e-05,btab_boxeig_topk_4096_q192,c1,topk_4096,192.0,4096.0,5329.0,5329.0,30392.0,98.38542462466822,212413.9475908336,2.6745073500654577,2983.7351513250496,29837.35151325049,29837.35151325049,1.978009811677907e-14,1.956101686311621e-15,0.6103545313182805,0.3725326539007578,16373760.0,418.0,418.0,418.0,cupy,102,102.0,0.3734973979999267,0.3769713639999281,0.5723155560003761,0.6537709720000748,0.175191249999898,0.8289622219999728,0.0199957598868528,0.0005600026395671
synthetic_true_func_2d_n10000000,1e-05,btab_boxeig_topk_8192_q128,c1,topk_8192,128.0,8192.0,10609.0,10609.0,25112.0,18.400346579650652,68148.36962691823,2.5251616816660967,6920.019734500263,69200.19734500263,69200.19734500263,1.0428224391327358e-14,1.5361541276197946e-15,0.3669863041843153,0.1346789474588628,21729280.0,290.0,290.0,290.0,cupy,160,160.0,0.2652420949998486,0.269707532999746,0.5638167540000723,0.6374614129999827,0.1505609579999145,0.7880223709998972,0.0199958359157814,0.0005663821902682
