dataset_stem,n_train,eps,selector_tag,route,method,precompute_mode,top_q,btab_eig_q,btab_active_size_raw,btab_box_size,tail_size,rho_max_T,tail_energy,epsilon_T,eta_inv,eta_eig,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max,cg_iters,outer_iters,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_test
synthetic_true_func_2d_n1000000,1000000,1e-05,topk_1024,inverse,btab_auto_topk_1024,c1,,,1024.0,1369.0,34352.0,240.1514296249552,159243.36646233394,2.839405002211028,1.8063859279535777,,,,91,91.0,0.1160908000019844,0.504577599989716,0.5739862000045832,0.2054010000138078,0.779387200018391,0.0012661960952069
synthetic_true_func_2d_n1000000,1000000,1e-05,topk_2048,inverse,btab_auto_topk_2048,c1,,,2048.0,2601.0,33120.0,54.54761652132973,63020.96672492494,2.731338618741145,1.7168587239733248,,,,57,57.0,0.4983240000146907,0.9059572999831288,0.9757709999976214,0.3041097999957856,1.279880799993407,0.0012655525452141
synthetic_true_func_2d_n1000000,1000000,1e-05,topk_4096,inverse,btab_auto_topk_4096,c1,,,4096.0,5329.0,30392.0,9.83852065960661,21241.346961770272,2.4296804987506406,1.4648089798622008,,,,26,26.0,6.52516060002381,11.300088400021195,11.370821200020146,5.83819000000949,17.209011200029636,0.00126658775039
synthetic_true_func_2d_n1000000,1000000,1e-05,topk_512,inverse,btab_auto_topk_512,c1,,,512.0,625.0,35096.0,1313.5162514399249,462889.78707640665,2.921056339067285,1.8683819112803823,,,,186,186.0,0.0344739999854937,0.708326499996474,0.7874823000165634,0.1734243000100832,0.9609066000266466,0.0012663059253428
synthetic_true_func_2d_n10000000,10000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q45,c1,45.0,,,,,,,,,,,,527,,0.0004187000158708,1.7792528999852948,3.409862200001953,,,0.000561801755869
synthetic_true_func_2d_n10000000,10000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q90,c1,90.0,,,,,,,,,,,,268,,0.0005311999993864,1.0340582999924663,3.624661599984393,,,0.000560344329484
synthetic_true_func_2d_n10000000,10000000,1e-05,plain_cg,cg_baseline,plain_cg,original/default,,,,,,,,,,,,,1102,,,2.910290900006657,7.183344400022179,,,0.0005584891130336
synthetic_true_func_2d_n10000000,10000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q128,c1,,128.0,1024.0,1369.0,34352.0,2401.5191371138226,1592437.0739614717,2.7524344858248777,,0.9308967331748712,69111.95760736614,9.70234805372076e-15,190,190.0,0.3725854000076651,1.063702400017064,2.066914299997734,0.3181964000104926,2.3851107000082266,0.0005599965367994
synthetic_true_func_2d_n10000000,10000000,1e-05,topk_1024,inverse,btab_auto_topk_1024,c1,,,1024.0,1369.0,34352.0,2401.5191371138226,1592437.0739614717,2.7524344858248777,1.8639041178361253,,,,187,187.0,0.1149317999952472,0.9836237999843432,1.9524443999980576,0.233453399996506,2.185897799994564,0.0005597136677523
synthetic_true_func_2d_n10000000,10000000,1e-05,topk_2048,inverse,btab_auto_topk_2048,c1,,,2048.0,2601.0,33120.0,545.477332504985,630211.0596413197,2.7283613937574773,1.837633394222305,,,,120,120.0,0.4873889999871608,1.4488655000168364,2.443705100013176,0.3373642000078689,2.781069300021045,0.0005607667029967
synthetic_true_func_2d_n10000000,10000000,1e-05,topk_4096,inverse,btab_auto_topk_4096,c1,,,4096.0,5329.0,30392.0,98.38542462466822,212413.9475908336,2.674507350065458,1.7545755462579016,,,,56,56.0,4.830282000009902,17.05572270002449,18.048924200003967,6.599784399993951,24.64870859999792,0.0005597028508345
synthetic_true_func_2d_n10000000,10000000,1e-05,topk_512,inverse,btab_auto_topk_512,c1,,,512.0,625.0,35096.0,13135.185441948206,4628907.069044906,2.762861457557889,1.8907635763606472,,,,331,331.0,0.0235805000120308,1.1866169999993872,2.152728399989428,0.2043895999959204,2.3571179999853484,0.0005604493985007
synthetic_true_func_2d_n3000000,3000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q45,c1,45.0,,,,,,,,,,,,448,,0.0009908999782055,1.4604237000166904,2.785907400015276,,,0.0008886797750607
synthetic_true_func_2d_n3000000,3000000,1e-05,eigenpro_pcg,eigenpro_baseline,eigenpro_pcg_q90,c1,90.0,,,,,,,,,,,,244,,0.0006732000038027,1.0264351000078022,3.248358399985591,,,0.0008895140635178
synthetic_true_func_2d_n3000000,3000000,1e-05,plain_cg,cg_baseline,plain_cg,original/default,,,,,,,,,,,,,997,,,2.469446100003552,3.7236656000022776,,,0.0008834438209476
synthetic_true_func_2d_n3000000,3000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q128,c1,,128.0,1024.0,1369.0,34352.0,720.4550297588038,477730.6211788942,2.790658341840177,,0.911592398266211,20735.68407717054,1.1116489226640721e-14,164,164.0,0.4052087999880314,1.0195679999887943,1.610552700003609,0.2820532000041567,1.8926059000077655,0.0008838800046645
synthetic_true_func_2d_n3000000,3000000,1e-05,topk_1024,inverse,btab_auto_topk_1024,c1,,,1024.0,1369.0,34352.0,720.4550297588038,477730.6211788942,2.790658341840177,1.836263068178604,,,,134,134.0,0.1189186999981757,0.7239088999922387,1.3082481999881566,0.2646325000096112,1.5728806999977678,0.0008850994567808
synthetic_true_func_2d_n3000000,3000000,1e-05,topk_2048,inverse,btab_auto_topk_2048,c1,,,2048.0,2601.0,33120.0,163.6430282154797,189063.11327739028,2.742519728549874,1.7823184813869204,,,,86,86.0,0.5030616000003647,1.187518799997633,1.7994824999768753,0.3407408999919425,2.140223399968818,0.0008843257865718
synthetic_true_func_2d_n3000000,3000000,1e-05,topk_4096,inverse,btab_auto_topk_4096,c1,,,4096.0,5329.0,30392.0,29.51559534762896,63724.11403807059,2.6066564905600496,1.6312583912729532,,,,38,38.0,10.431418399995891,20.280051200010348,20.910311500018,8.058130999997957,28.968442500015957,0.0008834598663964
synthetic_true_func_2d_n3000000,3000000,1e-05,topk_512,inverse,btab_auto_topk_512,c1,,,512.0,625.0,35096.0,3940.552263332592,1388670.769006471,2.81831287410087,1.877383181161689,,,,256,256.0,0.0256486999860499,0.988817499979632,1.6508768999774477,0.214104499988025,1.8649813999654723,0.0008855251332425
