dataset_stem,eps,method,precompute_mode,selector_tag,btab_active_size_raw,btab_box_size,tail_size,rho_max_T,tail_energy,epsilon_T,eta_inv,eta_inv_sq,eta_inv_status,cg_iters,outer_iters,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_train,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_auto_topk_4096,c1,topk_4096,4096.0,5329.0,30392.0,29.51563404084684,63724.19886326596,5.6411880953076405,3.1089012491750823,9.665266977122387,ok,69,69.0,10.50524040000164,28.7608250999765,29.42888110000058,8.523551399994176,37.95243249999476,0.0306543301299171,0.031097437529383
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,btab_auto_topk_512,c1,topk_512,512.0,625.0,35096.0,3940.556332250379,1388672.4014117874,7.621116718924883,3.0957921696019484,9.583929157368738,ok,487,487.0,0.0261462999915238,1.8387187999906016,2.467808399989736,0.2091605000023264,2.676968899992062,0.0306543382452831,0.031097445981309
synthetic_true_func_2d_n1000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1369.0,34352.0,240.1514296249552,159243.36646233394,2.839405002211028,1.8063859279535777,3.2630301207087085,ok,91,91.0,0.1160908000019844,0.504577599989716,0.5739862000045832,0.2054010000138078,0.779387200018391,0.0199360744607412,0.0012661960952069
synthetic_true_func_2d_n1000000,1e-05,btab_auto_topk_2048,c1,topk_2048,2048.0,2601.0,33120.0,54.54761652132973,63020.96672492494,2.731338618741145,1.7168587239733248,2.947603878083313,ok,57,57.0,0.4983240000146907,0.9059572999831288,0.9757709999976214,0.3041097999957856,1.279880799993407,0.019936053564873,0.0012655525452141
synthetic_true_func_2d_n1000000,1e-05,btab_auto_topk_4096,c1,topk_4096,4096.0,5329.0,30392.0,9.83852065960661,21241.346961770272,2.4296804987506406,1.4648089798622008,2.1456653474849414,ok,26,26.0,6.52516060002381,11.300088400021195,11.370821200020146,5.83819000000949,17.209011200029636,0.0199360427534075,0.00126658775039
synthetic_true_func_2d_n1000000,1e-05,btab_auto_topk_512,c1,topk_512,512.0,625.0,35096.0,1313.5162514399249,462889.78707640665,2.921056339067285,1.8683819112803823,3.4908509663997345,ok,186,186.0,0.0344739999854937,0.708326499996474,0.7874823000165634,0.1734243000100832,0.9609066000266466,0.0199360621815356,0.0012663059253428
synthetic_true_func_2d_n10000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1369.0,34352.0,2401.5191371138226,1592437.0739614717,2.7524344858248777,1.8639041178361253,3.4741385604864656,ok,187,187.0,0.1149317999952472,0.9836237999843432,1.9524443999980576,0.233453399996506,2.185897799994564,0.0199956673296452,0.0005597136677523
synthetic_true_func_2d_n10000000,1e-05,btab_auto_topk_2048,c1,topk_2048,2048.0,2601.0,33120.0,545.477332504985,630211.0596413197,2.7283613937574773,1.837633394222305,3.376896491560991,ok,120,120.0,0.4873889999871608,1.4488655000168364,2.443705100013176,0.3373642000078689,2.781069300021045,0.0199956674844434,0.0005607667029967
synthetic_true_func_2d_n10000000,1e-05,btab_auto_topk_4096,c1,topk_4096,4096.0,5329.0,30392.0,98.38542462466822,212413.9475908336,2.674507350065458,1.7545755462579016,3.078535347526214,ok,56,56.0,4.830282000009902,17.05572270002449,18.048924200003967,6.599784399993951,24.64870859999792,0.019995673421302,0.0005597028508345
synthetic_true_func_2d_n10000000,1e-05,btab_auto_topk_512,c1,topk_512,512.0,625.0,35096.0,13135.185441948206,4628907.069044906,2.762861457557889,1.8907635763606472,3.5749869016921045,ok,331,331.0,0.0235805000120308,1.1866169999993872,2.152728399989428,0.2043895999959204,2.3571179999853484,0.019995667814582,0.0005604493985007
synthetic_true_func_2d_n3000000,1e-05,btab_auto_topk_1024,c1,topk_1024,1024.0,1369.0,34352.0,720.4550297588038,477730.6211788942,2.790658341840177,1.836263068178604,3.3718620555567003,ok,134,134.0,0.1189186999981757,0.7239088999922387,1.3082481999881566,0.2646325000096112,1.5728806999977678,0.0199708086263387,0.0008850994567808
synthetic_true_func_2d_n3000000,1e-05,btab_auto_topk_2048,c1,topk_2048,2048.0,2601.0,33120.0,163.6430282154797,189063.11327739028,2.742519728549874,1.7823184813869204,3.176659169093378,ok,86,86.0,0.5030616000003647,1.187518799997633,1.7994824999768753,0.3407408999919425,2.140223399968818,0.019970804834613,0.0008843257865718
synthetic_true_func_2d_n3000000,1e-05,btab_auto_topk_4096,c1,topk_4096,4096.0,5329.0,30392.0,29.51559534762896,63724.11403807059,2.6066564905600496,1.6312583912729532,2.6610039390984235,ok,38,38.0,10.431418399995891,20.280051200010348,20.910311500018,8.058130999997957,28.968442500015957,0.0199708011596469,0.0008834598663964
synthetic_true_func_2d_n3000000,1e-05,btab_auto_topk_512,c1,topk_512,512.0,625.0,35096.0,3940.552263332592,1388670.769006471,2.81831287410087,1.877383181161689,3.524567608908783,ok,256,256.0,0.0256486999860499,0.988817499979632,1.6508768999774477,0.214104499988025,1.8649813999654723,0.0199708256863355,0.0008855251332425
