dataset_stem,eps,selector_tag,route,method,btab_eig_q,btab_active_size_raw,btab_box_size,tail_size,rho_max_T,tail_energy,btab_eig_theta_q1_over_sigma2,btab_eig_eig_residual_max,cg_iters,outer_iters,time_precond_build,time_solve,time_total,time_post_diagnostics,time_total_with_diagnostics,rmse_test
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q128,128.0,1024,1369,34352,720.4558888597658,477731.2262290859,19596.926949697176,9.790605975674376e-15,607,607,0.4035604999953648,2.3319416000013007,2.5937956999987364,0.0842253000009805,2.678020999999717,0.0311741297845338
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,topk_1024,inverse,btab_auto_topk_1024,,1024,1369,34352,720.4558888597658,477731.2262290859,,,246,246,0.1039562000078149,1.1717981999972835,1.426335399999516,0.0001508999994257,1.4264862999989418,0.0311741449238641
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q32,32.0,512,625,35096,3940.556332249953,1388672.4014116372,238953.6723188796,1.94640504730248e-15,1580,1580,0.1167404000007081,5.131526900004246,5.397661700000754,0.0358367000008001,5.433498400001554,0.0311743698270441
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q64,64.0,512,625,35096,3940.556332249953,1388672.4014116372,76617.16324097147,3.863314313771499e-15,1009,1009,0.1869019000005209,3.3612192000000505,3.626327800011495,0.0490301999961957,3.675358000007691,0.0311743053888623
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q128,128.0,512,625,35096,3940.556332249953,1388672.4014116372,18593.162735294365,9.81147881641856e-15,640,640,0.3637741999991704,2.423081300003105,2.687028100001044,0.084185100000468,2.771213200001512,0.0311741602412629
USGS_LPC_IL_Winnebago_2018_ground_elevation_regression_ntrain3000000,1e-05,topk_512,inverse,btab_auto_topk_512,,512,625,35096,3940.556332249953,1388672.4014116372,,,501,501,0.0246071000001393,1.6624263999983668,1.916808599999058,0.0001539999939268,1.916962599992985,0.0311741293402196
synthetic_true_func_2d_n1000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q32,32.0,1024,1369,34352,240.15142962489767,159243.36646229576,76879.6388101815,2.180026102466129e-15,502,502,0.1381571000092663,1.6992382000025827,1.7971142000023974,0.6486485000059474,2.445762700008345,0.0012477238519757
synthetic_true_func_2d_n1000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q64,64.0,1024,1369,34352,240.15142962489767,159243.36646229576,25210.59119075832,4.886904713470564e-15,267,267,0.1900629000010667,1.036908800000674,1.1317703999957305,0.041060000003199,1.1728303999989294,0.0012482834255106
synthetic_true_func_2d_n1000000,1e-05,topk_1024,boxeig,btab_boxeig_topk_1024_q128,128.0,1024,1369,34352,240.15142962489767,159243.36646229576,6912.102426268262,1.1368673297384794e-14,116,116,0.3449134000111371,0.6993613999948138,0.790678499994101,0.0762565000040922,0.8669349999981932,0.0012470265651216
synthetic_true_func_2d_n1000000,1e-05,topk_1024,inverse,btab_auto_topk_1024,,1024,1369,34352,240.15142962489767,159243.36646229576,,,91,91,0.1023860999994212,0.4947854000056395,0.5873886000044877,0.0001907000114442,0.587579300015932,0.0012487603215515
synthetic_true_func_2d_n1000000,1e-05,topk_512,boxeig,btab_boxeig_topk_512_q32,32.0,512,625,35096,1313.5162514396102,462889.7870762957,76839.0260735054,1.792538023768794e-15,403,403,0.2714473999949405,1.593477400005213,1.6863053999986732,0.9054149000003237,2.591720299998997,0.0012508547701359
