N,Kernel,reg_lambda,Method,method,top-k,|B|,q,Iter.,T_solve,T_total,RMSE,RMSE / RMSE_EFGP,Speedup
10000000,SE,0.1,Active inverse,btab_auto_topk_1024,1024.0,1225.0,,14,0.0866179429999647,0.1462448959999847,0.137090832387517,0.9994985353332304,31.480093076209236
10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_64_q16,64.0,81.0,16.0,5426,8.847803703999944,8.907093572999997,0.1370907793064157,0.999498148330817,0.5168692683273846
10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_64_q32,64.0,81.0,32.0,3290,5.377911535000067,5.43711672500001,0.1370908988476412,0.9994990198791016,0.846736086579059
10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_128_q16,128.0,169.0,16.0,4920,8.02505984600009,8.08473420000007,0.1370909316887244,0.9994992593160793,0.5694439451083028
10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_128_q32,128.0,169.0,32.0,3926,6.419160165999983,6.478736650999963,0.1370911040651087,0.9995005160736655,0.7106019562146398
10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_128_q64,128.0,169.0,64.0,1701,2.908377367000071,2.967753312000013,0.1370909591289242,0.9994994593764261,1.5512754781149538
10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q32,256.0,361.0,32.0,3533,5.844293149000009,5.903743353999971,0.1370908136886648,0.9994983990040898,0.7798108186530225
10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q64,256.0,361.0,64.0,1805,3.0899912319999885,3.149489165999966,0.1370907586577243,0.9994979977858357,1.4617617954365452
10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q128,256.0,361.0,128.0,566,1.934225681000044,1.9935817540000471,0.1370908438914081,0.9994986192055224,2.3093123363326837
10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q64,512.0,625.0,64.0,1528,2.657761783000069,2.717067752000048,0.1370909948450289,0.9994997197745412,1.694401228902435
10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q128,512.0,625.0,128.0,429,0.9573760020000464,1.0166034090000269,0.1370907673996951,0.9994980615215857,4.528612531929781
10000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q256,512.0,625.0,256.0,38,0.5409937430000582,0.6006480890000603,0.1370908580751377,0.9994987226159163,7.664725855807386
30000000,SE,0.1,Active inverse,btab_auto_topk_64,64.0,81.0,,4328,6.962646350999989,7.111612607999973,0.1326594929210013,0.999489209244866,1.0971914491268109
30000000,SE,0.1,Active inverse,btab_auto_topk_128,128.0,169.0,,2164,3.5115090680000094,3.660436075999996,0.1326595187532821,0.9994894038716157,2.131658737099606
30000000,SE,0.1,Active inverse,btab_auto_topk_256,256.0,361.0,,462,0.7875629979999985,0.9363754859999744,0.1326596190484586,0.9994901595201142,8.332982505054817
30000000,SE,0.1,Active inverse,btab_auto_topk_512,512.0,625.0,,55,0.1204101300000957,0.269299093000086,0.1326596204789633,0.999490170297888,28.974477619193088
30000000,SE,0.1,Active inverse,btab_auto_topk_1024,1024.0,1225.0,,14,0.0908227920000399,0.2397700239999949,0.1326596189725734,0.9994901589483763,32.542852575266686
30000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_64_q16,64.0,81.0,16.0,7734,12.584065163000105,12.734350788000029,0.1326600650636004,0.999493519907762,0.6127364223665653
30000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_64_q32,64.0,81.0,32.0,5220,8.619641332000015,8.768611768000028,0.1326597555210856,0.9994911877384124,0.8898558573975589
30000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_128_q16,128.0,169.0,16.0,7831,12.68600031199992,12.83554045400001,0.1326599339086931,0.9994925317544705,0.6079058821842098
30000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_128_q32,128.0,169.0,32.0,5538,9.04467423299991,9.193796238999994,0.1326597122324984,0.9994908615915619,0.8487027926397352
30000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_128_q64,128.0,169.0,64.0,2754,4.604365500999961,4.75334387700002,0.1326597249496357,0.9994909574055986,1.6415392500330892
30000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q32,256.0,361.0,32.0,4979,8.191317679000008,8.340448744000014,0.1326596762266497,0.9994905903146526,0.9355372573463988
30000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q64,256.0,361.0,64.0,2850,4.778146096,4.927181005999955,0.1326596988679596,0.9994907608998436,1.583623685328044
30000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_256_q128,256.0,361.0,128.0,828,1.612994900999979,1.7620883079999885,0.1326597153883269,0.9994908853683492,4.428155222172918
30000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q64,512.0,625.0,64.0,2570,4.348035854000045,4.496812234000004,0.1326597188028798,0.9994909110944296,1.7351848680724753
30000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q128,512.0,625.0,128.0,731,1.4584783980000111,1.6073224049999908,0.1326595716513788,0.9994898024188712,4.8545335514065915
30000000,SE,0.1,Box-EigenPro,btab_boxeig_topk_512_q256,512.0,625.0,256.0,65,0.5890936340000508,0.7381007909999653,0.132659641079007,0.9994903255036779,10.571456687411079
